code,category,year_end,net_profit,num_share,price,name,ROI
5187,Consumer,31/12/18,11064,468000,0.055,HB GLOBAL LIMITED,42.98
7105,Property,31/12/18,6641,421223,1.26,HCK CAPITAL GROUP BERHAD,1.25
3255,Consumer,31/12/18,282522,302097,20.46,HEINEKEN MALAYSIA BERHAD,4.57
5028,Technology,31/12/18,-29175,101225,0.425,HEITECH PADU BERHAD,-67.82
5121,REITS,31/12/18,33129,461960,1.11,HEKTAR REAL ESTATE INVESTMENT TRUST,6.46
4324,Energy,31/12/18,30842,300019,4.66,HENGYUAN REFINING COMPANY BERHAD,2.21
5095,Industrial Products,31/12/18,16658,559803,0.61,HEVEABOARD BERHAD,4.88
3298,Industrial Products,30/06/18,-19962,200380,0.66,HEXZA CORPORATION BERHAD,-15.09
5072,Industrial Products,31/07/18,27946,1331533,0.38,HIAP TECK VENTURE BERHAD,5.52
5199,Energy,30/06/18,203712,1588228,0.885,HIBISCUS PETROLEUM BERHAD,14.49
8443,Industrial Products,31/12/18,17055,331941,0.54,HIL INDUSTRIES BERHAD,9.51
5169,Construction,31/12/18,27395,374874,0.315,HO HUP CONSTRUCTION COMPANY BHD,23.2
9601,Industrial Products,31/12/18,-33053,306750,0.105,HO WAH GENTING BERHAD,-102.62
